,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha)
86,67d0fb73-bd3d-4a85-ac64-a4db937a08ff,groundnuts,0,0,0,0.0,56992.92,2385.14,135935938.87,6304846.35,110.63
87,67d0fb73-bd3d-4a85-ac64-a4db937a08ff,maize,0,0,0,0.0,30293.03,2699.67,81781291.12,21337522.21,704.37
88,67d0fb73-bd3d-4a85-ac64-a4db937a08ff,sesame,0,0,0,0.0,93900.77,1465.23,137585782.02,10189778.19,108.52
89,67d0fb73-bd3d-4a85-ac64-a4db937a08ff,sorghum,0,0,0,0.0,141649.96,4284.31,606872545.22,28491127.12,201.14
90,d2d594ab-c1de-49ea-8b7f-c05aad8ffa07,cassava,20,-50,-40,40.0,1201561.72,155.73,187122898.47,9002631.18,7.49
91,d2d594ab-c1de-49ea-8b7f-c05aad8ffa07,groundnuts,0,0,0,0.0,56955.88,2386.2,135908056.34,6300188.1,110.62
92,d2d594ab-c1de-49ea-8b7f-c05aad8ffa07,maize,0,0,0,0.0,30139.74,2706.7,81579339.74,20466313.24,679.05
93,d2d594ab-c1de-49ea-8b7f-c05aad8ffa07,sesame,0,0,0,0.0,93812.23,1466.05,137533475.97,10176114.42,108.47
94,d2d594ab-c1de-49ea-8b7f-c05aad8ffa07,sorghum,0,0,0,0.0,141484.44,4287.81,606658989.19,28409301.06,200.79
95,6bc5016d-5f9a-478a-9cb2-bac7a059f886,cassava,30,-50,-40,40.0,1201561.72,155.73,187122898.47,9002631.18,7.49
96,6bc5016d-5f9a-478a-9cb2-bac7a059f886,groundnuts,0,0,0,0.0,56955.88,2386.2,135908056.34,6300188.1,110.62
97,6bc5016d-5f9a-478a-9cb2-bac7a059f886,maize,0,0,0,0.0,30139.74,2706.7,81579339.74,20466313.24,679.05
98,6bc5016d-5f9a-478a-9cb2-bac7a059f886,sesame,0,0,0,0.0,93812.23,1466.05,137533475.97,10176114.42,108.47
99,6bc5016d-5f9a-478a-9cb2-bac7a059f886,sorghum,0,0,0,0.0,141484.44,4287.81,606658989.19,28409301.06,200.79
100,970e667b-24e0-47ee-965a-efb5cb06435f,cassava,40,-50,-40,40.0,1201561.72,155.73,187122898.47,9002631.18,7.49
101,970e667b-24e0-47ee-965a-efb5cb06435f,groundnuts,0,0,0,0.0,56955.88,2386.2,135908056.34,6300188.1,110.62
102,970e667b-24e0-47ee-965a-efb5cb06435f,maize,0,0,0,0.0,30139.74,2706.7,81579339.74,20466313.24,679.05
103,970e667b-24e0-47ee-965a-efb5cb06435f,sesame,0,0,0,0.0,93812.23,1466.05,137533475.97,10176114.42,108.47
104,970e667b-24e0-47ee-965a-efb5cb06435f,sorghum,0,0,0,0.0,141484.44,4287.81,606658989.19,28409301.06,200.79
105,08ac4044-fe33-48de-8101-917a258698c6,cassava,50,-50,-40,40.0,1203206.8,168.18,202352274.73,12011173.24,9.98
106,08ac4044-fe33-48de-8101-917a258698c6,groundnuts,0,0,0,0.0,56814.42,2390.26,135801446.65,6282398.98,110.58
107,08ac4044-fe33-48de-8101-917a258698c6,maize,0,0,0,0.0,29603.02,2731.81,80869782.51,17836540.6,602.52
108,08ac4044-fe33-48de-8101-917a258698c6,sesame,0,0,0,0.0,93474.53,1469.21,137333731.57,10124067.71,108.31
109,08ac4044-fe33-48de-8101-917a258698c6,sorghum,0,0,0,0.0,140855.23,4301.2,605846011.51,28100367.48,199.5
110,1aa0fe30-f3c5-45ad-9d62-ac17099c68b3,cassava,-50,-50,-30,30.0,1199207.67,107.32,128696348.11,2319098.61,1.93
111,1aa0fe30-f3c5-45ad-9d62-ac17099c68b3,groundnuts,0,0,0,0.0,57138.13,2381.07,136049733.9,6324258.96,110.68
112,1aa0fe30-f3c5-45ad-9d62-ac17099c68b3,maize,0,0,0,0.0,31026.77,2666.99,82748172.98,26620732.25,857.99
113,1aa0fe30-f3c5-45ad-9d62-ac17099c68b3,sesame,0,0,0,0.0,94252.92,1462.02,137799392.06,10247019.75,108.72
114,1aa0fe30-f3c5-45ad-9d62-ac17099c68b3,sorghum,0,0,0,0.0,142328.51,4270.16,607765250.31,28843438.44,202.65
115,f94f6625-0193-445a-a837-98f682ac5452,cassava,-40,-50,-30,30.0,1199377.03,115.0,137924944.33,2975332.48,2.48
